gene	C1	C2	C3	PAC51	PAC52	PAC53	logFC	AveExpr	t	P.Value	adj.P.Val	B	change	significance
ZNF562	5.009	4.116	4.753	5.193	4.657	4.119	0.104	2.495	1.935	0.1012	0.5716	-4.27	NOT	FALSE
ZNF564	0.03803	0.03819	0.04083	0	0	0.04363	-0.02843	0.03872	-0.6483	0.5408	0.832	-5.548	NOT	FALSE
ZNF565	2.439	1.995	2.245	2.683	1.599	2.399	0.06024	1.686	0.4196	0.6894	0.894	-5.67	NOT	FALSE
ZNF566	6.695	5.849	6.732	5.357	5.803	3.438	-0.2673	2.714	-2.415	0.05216	0.5234	-3.7	NOT	FALSE
ZNF567	6.065	5.154	6.449	6.55	5.155	3.479	-0.1224	2.68	-0.8627	0.4214	0.7655	-5.394	NOT	FALSE
ZNF568	0.02919	0	0	0.01539	0	0.01675	0.006949	0.01439	0.1693	0.8711	0.9616	-5.747	NOT	FALSE
ZNF569	0	0.02758	0	0	0.09218	0	0.02883	0.02703	0.5477	0.6037	0.8575	-5.608	NOT	FALSE
ZNF57	4.381	4.399	5.593	4.744	4.504	4.686	0.05793	2.515	0.5888	0.5775	0.848	-5.585	NOT	FALSE
ZNF571	1.532	1.449	1.287	1.241	1.689	1.044	-0.01162	1.241	-0.1176	0.9102	0.9724	-5.754	NOT	FALSE
ZNF572	1.893	1.774	1.851	1.819	1.835	1.158	-0.09003	1.437	-0.9576	0.3752	0.7436	-5.315	NOT	FALSE
ZNF573	0.852	0.5606	0.8516	0.7125	0.6574	0.8763	0.04379	0.8089	0.4838	0.6457	0.8771	-5.641	NOT	FALSE
ZNF574	12.05	11.33	11.76	11.71	11.63	13.04	0.1101	3.689	1.102	0.3127	0.7107	-5.185	NOT	FALSE
ZNF575	1.838	2.104	1.515	1.758	2.057	1.717	0.0696	1.501	0.6661	0.5301	0.8269	-5.537	NOT	FALSE
ZNF576	7.677	8.067	8.2	7.595	8.678	9.988	0.2031	3.222	1.395	0.2123	0.6528	-4.886	NOT	FALSE
ZNF577	0.2568	0.1105	0.1575	0.1161	0.08209	0.2104	-0.03313	0.2072	-0.4592	0.6622	0.8833	-5.653	NOT	FALSE
ZNF579	24.89	26.28	20.57	26.77	26.78	27.93	0.2221	4.72	1.746	0.1314	0.601	-4.492	NOT	FALSE
ZNF580	30.96	28.06	30.71	35.99	31.55	35.34	0.2072	5.04	2.906	0.02709	0.4832	-3.134	UP	TRUE
ZNF581	22.14	21.91	26.15	20.25	18.73	21.58	-0.1568	4.504	-1.535	0.1755	0.6315	-4.733	NOT	FALSE
ZNF584	10.92	9.919	11.92	10.22	10.88	11.76	0.07808	3.574	0.7499	0.4817	0.7996	-5.48	NOT	FALSE
ZNF585A	0.3969	0.4115	0.4811	0.3106	0.4441	0.3526	-0.04339	0.484	-0.7413	0.4865	0.8028	-5.486	NOT	FALSE
ZNF585B	0.2558	0.2753	0.4316	0.4432	0.3885	0.2097	0.04297	0.4137	0.5311	0.6144	0.8636	-5.617	NOT	FALSE
