name	C1	C2	C3	PAC21	PAC22	PAC23	PAC51	PAC52	PAC53
103	ENSG00000251108	0	0.051022483	0.104848498	0.10351953	0.052568941	0	0	0.054787645	0
104	ENSG00000255031	5.160057011	4.039216576	4.407279285	4.061322027	3.609212186	4.527595386	4.637559703	3.377710454	4.029230403
105	ENSG00000153048	11.99899691	12.99503386	13.19281556	11.23329823	11.78415247	12.45817943	14.60892114	13.70436766	16.42828547
106	ENSG00000153044	20.22047902	19.75920675	21.60804187	21.92026041	20.87399271	22.08844669	23.11184917	20.07994062	15.32736613
107	ENSG00000153046	9.123928306	9.003739668	9.182504624	8.698439243	8.185846176	8.494690992	8.633029831	8.377709332	7.113125094
108	ENSG00000278356	1.641712875	1.421580356	1.071133173	2.115112846	1.855245549	1.890407108	0.672417554	1.017656484	1.079066888
109	ENSG00000164209	6.703214952	6.422666754	7.419319195	6.356690269	6.644211515	6.311946776	6.922418161	6.650114215	3.291056301
110	ENSG00000162129	10.50480631	10.30739108	10.72594722	10.7030915	9.784418836	9.916125165	10.93025457	9.805588003	12.11672668
111	ENSG00000127804	6.940987098	6.801181578	6.401555895	6.742430669	7.067127439	6.503305151	7.344660235	6.679763206	7.286636495
112	ENSG00000235173	9.991073287	10.71954438	10.28819364	12.41680707	11.25014572	12.942638	11.34773748	12.45056057	14.30350326
113	ENSG00000235172	0.042223411	0	0.090159064	0.089016286	0	0	0	0.047111813	0
114	ENSG00000108452	1.23779939	0.771715051	1.32152794	0.260955481	1.325175392	0.769665751	1.303666685	1.104884183	0.292889584
115	ENSG00000122035	8.579230256	8.222756918	10.47196968	9.124443371	9.431593138	10.32413714	11.62511051	11.05836669	13.99810218
116	ENSG00000235174	798.7424249	883.7126707	834.8396967	836.9043011	792.6179832	794.6108155	792.6694576	747.8366095	788.8642989
117	ENSG00000165669	2.437025727	2.201376533	2.560480183	2.589328936	2.422270258	2.350509389	2.619208561	2.688271943	2.051046194
118	ENSG00000226318	0.163525791	0.33983782	0.174587177	0.22983235	0.116712695	0.225956918	0.172227525	0.364915877	0
119	ENSG00000264676	0	0.329893457	0	0	0	0	0	0	0
